;Identificador;ct_clacul;ct_prepa_suelo;ct_k510ha;ct_k511ha;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_afito;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
10585;12085002069670001;507;1;10;10;2;2; ;0; ; ; ; ; ; ;1;10;5; ; ; ; ;10;11,3636363636364;11,3636363636364
10615;12085002079610009;507;1;1,764;1,764;3;2; ;0;1;200,0;200,0; ; ;1,764;2; ; ; ; ; ; ; ;6,81818181818182;6,81818181818182
10620;12085002079990002;507;1;2;2;5;2; ;0; ; ; ; ; ; ;1;1;3;0,4535;3; ; ;2;1,5; 
10621;12085002079990003;507;1;1,4112;1,4112;2;2; ;0;1;440,92; ; ; ;1,4112;1; ; ;1;3;1;3;1,4112;9,09090909090909;3,61363636363636
10625;12085002079990004;507;1;2;2;6;2; ;0;1;26,4552;881,84; ; ;2;1;1;3;1;3; ; ;2;6,27272727272727;5,22727272727273
10626;12085002079990004;507;1;2;2;6;1;2;2;1;26,4552;881,84; ; ;2;1;1;3;1;3; ; ;2;6,27272727272727;5,22727272727273
10629;12085002079990005;507;1;1;1;6;2; ;0;1;551,15; ; ; ;1;1;3;3;1;3; ; ;1;3,5;1,5
10632;12085002079990006;507;1;1;1;2;1;1;2;1;330,69;330,69; ; ;1;1;2;3; ; ; ; ;1;2,5;2
10635;12085002079990007;507;1;1;1;2;2; ;0;1;661,38; ; ; ;1;1;2;3;2;3; ; ;1;1,36363636363636; 
10641;12085002079990009;507;1;1,764;1,764;6;2; ;0;1;1543,22; ; ; ;1,764;1; ; ;1;3;1;3;1,764;3,57954545454545; 
10651;12085002083060002;507;1;,3528;,3528;3;2; ;0;1;110,23;110,23; ; ;,3528;1;1,5;1;,5;2; ; ;,3528;,818181818181818; 
10652;12085002083060002;507;1;,7056;,7056;3;2; ;0;1;220,46;220,46; ; ;,7056;1;3;1;1;2; ; ;,7056;1,63636363636364; 
10670;12085002085740011;507;1;2;2;2;2; ;0;1; ;881,84; ; ;2;1; ; ; ; ;2;2;2;2; 
10682;12085002090910003;507;2;1;1;1;1;1;6; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2,04545454545455;1,13636363636364
10685;12085002090910006;507;1;,7056;,7056;2;1;,7056;1;1;200,0; ; ; ;,7056;2; ; ; ; ; ; ; ;2,27272727272727;1,81818181818182
10690;12085002090910010;507;1;1,0443;1,0443;6;1;1,0443;2;1; ;4,4092; ; ;1,0443;1; ; ;12;5; ; ;1,0443;2,95454545454545; 
10705;12085002092560003;507;1;3;3;4;1;3;1;1;1322,76; ; ; ;3;1;2;2;2;3; ; ;3;2;2
10706;12085002092560003;507;1;3;3;4;1;3;1;1;1322,76; ; ; ;3;1;2;3;2;3; ; ;3;2;2
10720;12085002097920007;507;2;1;1;1;1;1;6;1; ;200,0; ; ;1;1;0,4535;4; ; ; ; ;1;1,81818181818182;,227272727272727
10721;12085002097920008;507;2;1;1;2;2; ;0;1; ;25; ; ;1;1; ; ; ; ; ; ;1;1,81818181818182;1,13636363636364
10724;12085002099490004;507;1;2;2;1;1;2;1;1;22,046;8,8184; ; ;2;2; ; ; ; ; ; ; ;4,36363636363636;4,09090909090909
10725;12085002099490005;507;1;1;1;2;1;1;0;1;220,46;220,46; ; ;1;1; ; ;1;4; ; ;1;,781818181818182;,390909090909091
10726;12085002099490005;507;1;1;1;2;1;1;0;1;220,46;220,46; ; ;1;1; ; ;1;4; ; ;1;,781818181818182;,390909090909091
10727;12085002099490005;507;1;1;1;6;1;1;0;1;220,46;220,46; ; ;1;1; ; ;1;4; ; ;1;,977272727272727;,781818181818182
10728;12085002099490007;507;1;1,5;1,5;1;1;1,5;1;1;11,023;13,2276; ; ;1,5;1; ; ;3;4; ; ;1,5;2,86363636363636;2,38636363636364
10729;12085002099490008;507;1;2,5;2,5;6;1;2,5;1;1;22,046;8,8184; ; ;2,5;1; ; ;1;2; ; ;2,5;3,27272727272727;2,18181818181818
10730;12085002099490011;507;1;,98;,98;1;1;,98;1;1;220,46;220,46; ; ;,98;2; ; ; ; ; ; ; ;1,90909090909091;1,43181818181818
10731;12085002099490013;507;1;2,5;2,5;2;1;2,5;1;1;551,15;1432,99; ; ;2,5;2; ; ; ; ; ; ; ;9;8
10732;12085002101430014;507;1;1,2;1,2;1;1;1,2;1;1;200,0; ; ; ;1,2;1;1;3;0,4535;3; ; ;1,2;1,25;1,25
10734;12085002101430014;507;1;1;1;6;2; ;0;1;400,0; ; ; ;1;1;1;2;1;2; ; ;1;3,63636363636364;3,63636363636364
10736;12085002101480002;507;1;2;2;5;1;2;1;1;529,104; ; ; ;2;1; ; ; ; ; ; ;2;1,27272727272727; 
10738;12085002101480003;507;1;,25;,25;5;2; ;0;1;110,23; ; ; ;,25;1;1;3; ; ; ; ;,25;,181818181818182; 
10739;12085002101480004;507;1;,25;,25;5;2; ;0;1;110,23; ; ; ;,25;1; ; ;1;2; ; ;,25;,909090909090909; 
10741;12085002103060005;507;1;2;2;5;1;2;1;1;220,46; ; ; ;2;1;1;4;1;4;1;4;2;1,63636363636364;1,58181818181818
10742;12085002103060005;507;1;2;2;5;1;2;1;1;220,46; ; ; ;2;1;1;4;1;4;1;4;2;1,74545454545455;1,36363636363636
10749;12085102110820004;507;1;1,91;1,91;2;2; ;0;1; ;440,92; ; ;1,91;1;4;4; ; ; ; ;1,91;4,54545454545455;2,72727272727273
10750;12085102110820005;507;1;9;9;2;2; ;0;1; ;1763,68; ; ;9;1;10;4;6;2; ; ;9;15,4636363636364;14,9863636363636
10751;12085102110820005;507;1;9;9;2;1;9;1;1; ;1763,68; ; ;9;1;10;4;6;2; ; ;9;15,4636363636364;14,9863636363636
10752;12085102110820005;507;1;9;9;2;1;9;1;1; ;1763,68; ; ;9;1;10;4;6;2; ; ;9;15,4636363636364;14,9863636363636
10753;12085102110820008;507;1;1,5;1,5;2;2; ;0;1; ;551,15; ; ;1,5;1;2;4;0,907;4; ; ;1,5;1,81818181818182; 
10754;12085102110820011;507;1;1;1;3;2; ;0;1;440,92;220,46; ; ;1;1;2;4; ; ;1;2;1;1,45454545454545; 
10757;12085102110820014;507;1;3;3;2;2; ;0;1;1102,3;1102,3; ; ;3;1;2;3;2;3; ; ;3;9,54545454545455;8,59090909090909
10759;12085102110820015;507;1;1,0513;,7056;3;2; ;0;1;220,46;220,46; ; ;1,0513;1;1;3; ; ; ; ;1,0513;4,77272727272727;3,81818181818182
10761;12085102110820016;507;1;3;3;6;2; ;0;1;881,84;440,92; ; ;3;1;2;3;2;3; ; ;3;11,4545454545455;9,54545454545455
10763;12085102110820019;507;1;2;2;6;2; ;0;1; ;330,69; ; ;2;1;2;4; ; ; ; ;2;9,54545454545455;8,59090909090909
10764;12085102110820020;507;1;1;1;3;2; ;0;1; ;110,23; ; ;1;1;2;4; ; ; ; ;1;,954545454545455; 
10767;12085102110820021;507;1;2,98;2,98;2;2; ;0;1;551,15;440,92; ; ;2,98;1;3;2; ; ; ; ;2,98;14,3181818181818;12,8863636363636
10769;12085102110820023;507;1;3,25;3,25;2;2; ;0;1; ;220,46; ; ;3,25;1;6;4;1;2; ; ;3,25;11,4545454545455;9,54545454545455
10772;12085102115980012;507;1;,29;,29;6;2; ;0;1;110,23;110,23; ; ;,29;1;,25;3;,25;3; ; ;,29;,954545454545455;,954545454545455
10773;12085102115980019;507;1;2;2;6;2; ;0;1;440,92;440,92; ; ;2;1;1;3;0,4535;5; ; ;2;18,1363636363636;18,1363636363636
10776;12085151000993398;507;2;60;60;3;2; ;0;1;42000,0; ; ; ;60;1;60;2;120;2;75;3;60;114,545454545455;105
